id;code;en;fr;pt;unite;
1;APMXS;Depth of cut maximum in feed direction side;Profondeur de coupe maximale en direction de l'avance radiale;Profundidade de corte máxima em direção lateral ao avanço;mm;
2;Code barre;Product barcode;Code barre;Código de barras;str;
3;CCC;Center cutting capability;Coupe au centre;Corte ao centro;bool;
4;CGT;Cutting geometry type;Géométrie de coupe;Tipo da geometria de corte;str;
5;CHW;Corner chamfer width;Largeur du chanfrein de coin;Larg. do chanfro do canto;mm;
6;Cmax;Helical interpolation hole diameter maximum;Diamètre maximum du trou d'interpolation hélicoïdale;Diâmetro máximo da interpolação helicoidal;mm;
7;Cmin;Helical interpolation hole diameter minimum;Diamètre minimum du trou d'interpolation hélicoïdale;Diâmetro mínimo da interpolação helicoidal;mm;
8;REVÊTEMENT;Cutting item coating;Revêtement;Revistimento;str;
9;DC;Cutting diameter;Diamètre de coupe;Diâmetro de corte;mm;
10;DMM;Shank diameter;Diamètre d'attachement;Diâmetro do corpo;mm;
11;DN;Neck diameter;Diamètre détalonné;Diâmetro util;mm;
12;FCEDC;Face cutting edge count;Nombre effectif de dents;Numero de arestas de corte;int;
13;FHA;Flute Helix Angle;Angle d'hélice;Ângulo de hélice da lamina;deg;
14;ICC;Internal coolant channel;Arrosage interne;Canal de refrigeração interna;bool;
15;Numéroarticle;Item Number;Numéro de l'article;Item No.;str;
16;KCH;Corner chamfer angle;Angle du chanfrein de coin;âng. do chanfro do canto;deg;
17;LN;Neck length;Longueur détalonnée;Comprimento util;mm;
18;OAL;Overall length;Longueur globale;Comprimento total;mm;
19;PCEDC;Pheripheral cutting edge count;Nombre d'arêtes périphériques;Numero de arestas de corte periféricos;int;
20;PSIR;Tool lead angle;Angle d'inclinaison de l'outil;âng de ataque;deg;
21;Type de mandrin;Shanktype;Type de corps;Tipo de corpo;str;
22;TCDMM;Shank diameter tolerance class;Classe de tolérance du diamètre d'attachement;Classe de tolerância do diâmetro da haste;str;
23;Poids;Net weight;Poids net;Peso liquido;kg;
