Index;File;Parent;EN;FR;PT
1;file;1;File;Fichier;Ficheiro
2;open;1;Open;Ouvrir;Abrir
3;xml;2;XML;XML;XML@
4;excel;2;Excel ( model );Excel ( modèle );Excel ( modelo )@
5;topsolid;2;TopSolid 6;TopSolid 6;TopSolid 6@
6;save;1;Save;Enregistrer;Guardar@
7;exit;1;Exit;Quitter;Sair@
8;tools;8;Tool;Outils;Ferramentas
9;mills;8;Mills;Fraises;Fresas
10;endMill;9;End Mill;Fraise 2 tailles;Fresa de topo@
11;toroidalMill;9;Toroidal Mill;Fraise toroïdale;Fresa toroidal
12;ballNoseMill;9;Ball Nose Mill;Fraise sphérique;Fresa esférica
13;drilling;8;Drilling;Perçage;Furação
14;spottingDrill;13;Spotting Drill;Foret à pointer;Broca de centragem
15;twistDrill;13;Twist Drill;Foret hélicoïdal;Broca helicoidal
16;carbideTwist_Drill;13;Carbide Twist Drill;Foret carbure;Broca helicoidal em metal duro
17;flatDrill;13;Flat Drill;Foret plat;Broca chata
18;tarauds;8;Tapping;Taraudage;Roscas
19;tap;18;Tap;Taraud;Macho
20;thread Milling Cutter;18;Thread Milling Cutter;Fraise à fileter;Fresa para roscas
21;alesoirs;8;Reaming;Alésage;Alesagem
22;constantReamer;21;Constant Reamer;Alésoir fixe;Alesador de mandril fixo
23;setup;23;Setup;Configuration;Configuração
24;sourceLibrary;23;Library source;Source de bibliothèque;Fonte da biblioteca
25;default;24;Default;Défaut;Predefinido#
26;ediTool;24;EdiTool;EdiTool;EdiTool#
27;addLibrarySource;24;Add;Ajouter;Adicionar@
28;destinationLibrary;23;Destination library;Bibliothèque de destination;Biblioteca de destino
29;{destinationLibrary};28;{destinationLibrary};{destinationLibrary};{destinationLibrary}#
30;addDestinationLibrary;28;Add;Ajouter;Adicionar@
31;importManuf;31;Import tools;Importer outils;Importar ferramentas
32;FRAISA;31;FRAISA;FRAISA;FRAISA@
